"本机","Localhost"

"添加","Add "
"保存","Save "
"删除","Delete "
"修改","Modify "
"更新","Update "

"清空","Clear "
"目录"," Directory"

"用户"," User"
"用户登录"," login"
"用户注销"," logout"
"用户密码"," user password"

"登录失效！请刷新页面或重新登录！","Logon failed! Please refresh and try again!"
"添加失败，可能是模板名称重复导致！","Add failed! possibly duplicate template name!"
"删除失败！系统模板不允许删除！","Delete failed! Can not delete system template!"
"操作失败，用户权限验证未通过！","Operation failed! user authorization verification failed!"

"添加失败！请稍后再试！","Add failed! Please try again later!"
"修改失败！请稍后再试！","Modify failed! Please try again later!"
"删除失败！请稍后再试！","Delete failed! Please try again later!"

"删除成功！","Delete successfully!"
"操作失败！","Operation failed!"

"报告","Report"
"-告警","-Alarm"
"观察点-","Watchpoint-"
"服务端-","Server-"
"客户端-","Client-"
"（自定义）","（Custom）"
"自定义报表","Custom report"

"告警数量统计列表","Alarm count list"

"生成自定义报表，生成自定义报表的历史信息。","Generate history information for custom reports."
"生成报告成功，但邮件发送失败，请用户核实邮件信息！","The report was generated successfully，but the email was sent unsuccessfully. Please verify the email information!"
"报表生成失败，请稍后重试.","Report generation failed. Please try again later"

"自定义报表生成失败，请核对报表名称是否重复，是否包含空格！","Failed to generate the custom report，please check whether the report name is repeated and whether it contains Spaces!"
"自定义报表生成失败!请稍后重试","Custom report generation failed! Please try again later"
"模板不存在，可能已经被删除，请核实后再操作！","The template does not exist，it may have been deleted，please verify before operation!"
"系统文件缺失，请核实report文件是否布置在指定路径","The system file is missing. Please verify whether the report file is placed in the specified path"

"更新数据存储设置","Update storage settings"
"配置导出","export Settings"
"配置导入","import Settings"
"应用配置导入","Application configuration import"
"应用配置导出","Application configuration export"

"工作薄中第","In the workbook line "
"行添加失败."," add failed"

"URL添加错误：","URL add error:"
"URL服务","URL Service"

"应用可用性设置","Application availability settings"

"全局热力图","Global thermal diagram"
"XPM服务器设置","XPM Server setting"
"流量下载","Traffic download"

"获取程序异常！","Reques program exception!"
"获取email设置信息失败！","Failed to get email Settings!"
"获取企业微信设置信息失败！","Failed to get enterprise WeChat setting information!"

"流量存储","Traffic store"
"流量储存","Traffic store"

"拓扑图","topplogy"

"小于64","Less than 64"
"大于1514","More than 1514"

"编号","Num"
"KPI名称","KPI"
>Kpi名称<,>KPI<
>KPI名称<,>KPI<

"告警","Alarm"
"告警最多的kpi排名","Ranking alarming kpis"
"时间段内告警统计","Alarm statistics"
"KPI告警分布","KPI alarm distribution"

"告警响应","Response alarm"
"告警删除","Response delete"

"基线","Baseline"
